Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company
13-05-2020,77.3992229,78.34145731,75.18250256,76.28342438,200622400,0,0,AAPL
14-05-2020,75.50486051,76.81406401,74.76595109,76.7520752,158929200,0,0,AAPL
15-05-2020,74.47336228,76.34542143,74.43864492,76.29830933,166348400,0,0,AAPL
18-05-2020,77.65215854,78.47784629,76.94548448,78.09599304,135178400,0,0,AAPL
19-05-2020,78.11334587,78.97870731,77.61247896,77.64471436,101729600,0,0,AAPL
20-05-2020,78.5224718,79.22666385,78.48279805,79.15476227,111504800,0,0,AAPL
21-05-2020,79.01341936,79.56636228,78.32162211,78.56462097,102688800,0,0,AAPL
22-05-2020,78.29683068,79.15476134,78.19269371,79.07045746,81803200,0,0,AAPL
26-05-2020,80.21352839,80.39701286,78.47784153,78.53487396,125522000,0,0,AAPL
27-05-2020,78.38857249,79.0258117,77.63230448,78.87703705,112945200,0,0,AAPL
28-05-2020,78.54477433,80.19863902,78.26210931,78.91175079,133560800,0,0,AAPL
29-05-2020,79.1597207,79.63083421,78.47040535,78.8348999,153532400,0,0,AAPL
01-06-2020,78.78777956,79.92837521,78.65388161,79.80439758,80791200,0,0,AAPL
02-06-2020,79.53164024,80.19864042,79.08035991,80.17384338,87642800,0,0,AAPL
03-06-2020,80.50115419,80.8830074,79.91597585,80.61521149,104491200,0,0,AAPL
04-06-2020,80.43421344,80.73919358,79.53909098,79.92094421,87560400,0,0,AAPL
05-06-2020,80.17634008,82.25916289,80.14658666,82.19717407,137250400,0,0,AAPL
08-06-2020,81.88721705,82.71786861,81.16071002,82.68315125,95654400,0,0,AAPL
09-06-2020,82.35586461,85.69581473,82.32362921,85.29412842,147712400,0,0,AAPL
10-06-2020,86.26363343,87.96708486,85.81483502,87.48853302,166651600,0,0,AAPL
11-06-2020,86.61325079,87.04717249,83.18403289,83.28816986,201662400,0,0,AAPL
12-06-2020,85.47513102,86.23882984,82.87160099,84.00723267,200146000,0,0,AAPL
15-06-2020,82.63109126,85.71317336,82.4649579,85.0461731,138808800,0,0,AAPL
16-06-2020,87.14635592,87.57780323,85.47513984,87.30008698,165428800,0,0,AAPL
17-06-2020,88.06130899,88.1232978,87.05461124,87.17858887,114406400,0,0,AAPL
18-06-2020,87.13395512,87.63978594,86.59093251,87.21330261,96820400,0,0,AAPL
19-06-2020,87.93484787,88.41091768,85.58174755,86.71490479,264476000,0,0,AAPL
22-06-2020,87.11660079,89.12999631,87.06948869,88.98370361,135445200,0,0,AAPL
23-06-2020,90.2557073,92.33357342,89.82674201,90.88303375,212155600,0,0,AAPL
24-06-2020,90.50367004,91.44342259,88.89691723,89.27877045,192623200,0,0,AAPL
25-06-2020,89.43746604,90.50367064,88.66136486,90.46399689,137522400,0,0,AAPL
26-06-2020,90.35737506,90.58301525,87.53316108,87.68441772,205256800,0,0,AAPL
29-06-2020,87.59019554,89.80195978,87.10172337,89.7052536,130646000,0,0,AAPL
30-06-2020,89.28372951,90.74667164,89.26389642,90.45407867,140223200,0,0,AAPL
01-07-2020,90.53341909,91.08883643,90.23339536,90.28298187,110737200,0,0,AAPL
02-07-2020,91.21033965,91.85998119,90.16645017,90.28298187,114041600,0,0,AAPL
06-07-2020,91.74344509,93.17662617,91.71120969,92.69807434,118655600,0,0,AAPL
07-07-2020,93.08487709,93.88081129,92.29638125,92.41043854,112424400,0,0,AAPL
08-07-2020,93.40970036,94.59492613,93.32043253,94.56269073,117092000,0,0,AAPL
09-07-2020,95.47516837,95.52971883,93.89817657,94.96934509,125642800,0,0,AAPL
10-07-2020,94.55526074,95.19498957,93.93041619,95.13547516,90257200,0,0,AAPL
13-07-2020,96.46947283,99.13747385,94.4783924,94.69659424,191649200,0,0,AAPL
